EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,1,1,1,0,3,3,2,2,10,taluseadus; kolhoos; kompenseerima; õigus; talu; vabadus
1,1,1,1,0,3,3,2,2,10,taluseadus; kolhoos; kompenseerima; õigus; talu; vabadus
1,1,1,1,0,3,3,2,2,10,taluseadus; kolhoos; kompenseerima; õigus; talu; vabadus
1,1,1,1,0,3,3,2,2,10,taluseadus; kolhoos; kompenseerima; õigus; talu; vabadus
1,1,1,1,0,3,3,2,2,10,taluseadus; kolhoos; kompenseerima; õigus; talu; vabadus
1,1,1,1,0,3,3,2,2,10,taluseadus; kolhoos; kompenseerima; õigus; talu; vabadus
1,1,1,1,0,3,3,2,2,10,taluseadus; kolhoos; kompenseerima; õigus; talu; vabadus
1,1,1,1,0,3,3,2,2,10,taluseadus; kolhoos; kompenseerima; õigus; talu; vabadus
1,1,1,1,0,3,3,2,2,10,taluseadus; kolhoos; kompenseerima; õigus; talu; vabadus
1,1,1,1,0,3,3,2,2,10,taluseadus; kolhoos; kompenseerima; õigus; talu; vabadus
1,1,1,1,0,3,3,2,2,10,taluseadus; kolhoos; kompenseerima; õigus; talu; vabadus
