EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,3,5,0,2,0,5,2,0,11,strandberg; füüsika; elektron; telekas; analoogantenn; valgus; signaal
1,3,5,0,2,0,5,2,0,11,strandberg; füüsika; elektron; telekas; analoogantenn; valgus; signaal
1,3,5,0,2,0,5,2,0,11,strandberg; füüsika; elektron; telekas; analoogantenn; valgus; signaal
1,3,5,0,2,0,5,2,0,11,strandberg; füüsika; elektron; telekas; analoogantenn; valgus; signaal
1,3,5,0,2,0,5,2,0,11,strandberg; füüsika; elektron; telekas; analoogantenn; valgus; signaal
1,3,5,0,2,0,5,2,0,11,strandberg; füüsika; elektron; telekas; analoogantenn; valgus; signaal
1,3,5,0,2,0,5,2,0,11,strandberg; füüsika; elektron; telekas; analoogantenn; valgus; signaal
1,3,5,0,2,0,5,2,0,11,strandberg; füüsika; elektron; telekas; analoogantenn; valgus; signaal
1,3,5,0,2,0,5,2,0,11,strandberg; füüsika; elektron; telekas; analoogantenn; valgus; signaal
1,3,5,0,2,0,5,2,0,11,strandberg; füüsika; elektron; telekas; analoogantenn; valgus; signaal
1,3,5,0,2,0,5,2,0,11,strandberg; füüsika; elektron; telekas; analoogantenn; valgus; signaal
