EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,2,1,0,0,3,1,0,1,14,maja; martin; pood; kõrvaline; suhkrusaiapidu
1,2,1,0,0,3,1,0,0,14,maja; martin; pood; kõrvaline; suhkrusaiapidu
1,2,1,0,0,3,1,0,0,14,maja; martin; pood; kõrvaline; suhkrusaiapidu
1,2,1,0,0,3,1,0,0,14,maja; martin; pood; kõrvaline; suhkrusaiapidu
1,2,1,0,0,3,1,0,0,14,maja; martin; pood; kõrvaline; suhkrusaiapidu
1,2,1,0,0,3,1,0,0,14,maja; martin; pood; kõrvaline; suhkrusaiapidu
1,2,1,0,0,3,1,0,0,14,maja; martin; pood; kõrvaline; suhkrusaiapidu
1,2,1,0,0,3,1,1,0,14,maja; martin; pood; kõrvaline; suhkrusaiapidu
1,2,1,0,0,3,1,1,0,14,maja; martin; pood; kõrvaline; suhkrusaiapidu
1,2,1,1,0,3,1,1,0,14,maja; martin; pood; kõrvaline; suhkrusaiapidu
1,2,1,1,0,3,1,1,0,14,maja; martin; pood; kõrvaline; suhkrusaiapidu
