EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,2,4,0,1,4,4,6,1,10,veoauto; piibujutt; tüdruk; mittesuitsetaja; sõitma; armastamine; autojuht
1,2,4,0,1,4,4,6,1,10,veoauto; piibujutt; tüdruk; mittesuitsetaja; sõitma; armastamine; autojuht
1,2,4,0,1,4,4,6,1,10,veoauto; piibujutt; tüdruk; mittesuitsetaja; sõitma; armastamine; autojuht
1,2,4,0,1,4,4,6,1,10,veoauto; piibujutt; tüdruk; mittesuitsetaja; sõitma; armastamine; autojuht
1,2,4,0,1,4,4,6,1,10,veoauto; piibujutt; tüdruk; mittesuitsetaja; sõitma; armastamine; autojuht
1,2,4,0,1,4,4,6,1,10,veoauto; piibujutt; tüdruk; mittesuitsetaja; sõitma; armastamine; autojuht
1,2,4,0,1,4,4,6,1,10,veoauto; piibujutt; tüdruk; mittesuitsetaja; sõitma; armastamine; autojuht
1,2,4,0,1,4,4,6,1,10,veoauto; piibujutt; tüdruk; mittesuitsetaja; sõitma; armastamine; autojuht
1,2,4,0,1,4,4,6,1,10,veoauto; piibujutt; tüdruk; mittesuitsetaja; sõitma; armastamine; autojuht
1,2,4,0,1,4,4,6,1,10,veoauto; piibujutt; tüdruk; mittesuitsetaja; sõitma; armastamine; autojuht
1,2,4,0,1,4,4,6,1,10,veoauto; piibujutt; tüdruk; mittesuitsetaja; sõitma; armastamine; autojuht
