EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,0,1,0,0,0,0,1,0,13,heinrich; lugu
0,0,1,0,0,0,0,1,0,13,heinrich; lugu
0,0,1,0,0,0,0,1,0,13,heinrich; lugu
0,0,1,0,0,0,0,1,0,13,heinrich; lugu
0,0,1,0,0,0,0,1,0,13,heinrich; lugu
0,0,1,0,0,0,0,1,0,13,heinrich; lugu
0,0,1,0,0,0,0,1,0,13,heinrich; lugu
0,0,1,0,0,0,0,1,0,13,heinrich; lugu
1,0,0,0,0,0,0,1,0,13,tõlgendus; lugu
1,0,1,0,0,0,0,0,0,13,heinrich; psühholoogiline
0,0,2,0,0,0,0,0,0,13,heinrich; tõlgendus
