EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,2,2,0,0,0,0,0,1,13,mälestus; muusik; muusika
2,2,2,0,0,0,0,0,1,13,mälestus; muusik; muusika
2,2,2,0,0,0,0,0,1,13,mälestus; muusik; muusika
2,2,2,0,0,0,0,0,1,13,mälestus; muusik; muusika
2,2,2,0,0,0,0,0,1,13,mälestus; muusik; muusika
2,2,2,0,0,0,0,0,1,13,mälestus; muusik; muusika
2,2,2,0,0,0,0,0,0,13,mälestus; muusik; muusika
2,2,2,0,0,0,0,0,0,13,mälestus; muusik; muusika
2,2,2,0,0,0,0,0,0,13,mälestus; muusik; muusika
2,2,2,0,0,0,0,0,1,13,mälestus; muusik; muusika
2,2,2,0,0,0,0,0,1,13,mälestus; muusik; muusika
