EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,4,5,4,3,5,6,6,5,12,mängusõber; mängima; saatus; mäng; varrukas; käima; trump; elu; kaart; laul
5,4,5,4,3,5,6,6,5,12,mängusõber; mängima; saatus; mäng; varrukas; käima; trump; elu; kaart; laul
5,4,5,4,3,5,6,6,5,12,mängusõber; mängima; saatus; mäng; varrukas; käima; trump; elu; kaart; laul
5,4,5,4,3,5,6,6,5,12,mängusõber; mängima; saatus; mäng; varrukas; käima; trump; elu; kaart; laul
5,4,5,4,3,5,6,6,5,12,mängusõber; mängima; saatus; mäng; varrukas; käima; trump; elu; kaart; laul
5,4,5,4,3,5,6,6,5,12,mängusõber; mängima; saatus; mäng; varrukas; käima; trump; elu; kaart; laul
5,4,5,4,4,5,6,6,5,12,mängusõber; mängima; saatus; mäng; varrukas; käima; trump; elu; kaart; laul
5,4,5,4,3,5,6,6,5,12,mängusõber; mängima; saatus; mäng; varrukas; käima; trump; elu; kaart; laul
5,4,5,4,3,5,6,6,5,12,mängusõber; mängima; saatus; mäng; varrukas; käima; trump; elu; kaart; laul
5,4,5,4,3,5,6,6,5,12,mängusõber; mängima; saatus; mäng; varrukas; käima; trump; elu; kaart; laul
5,4,5,4,4,5,6,6,5,12,mängusõber; mängima; saatus; mäng; varrukas; käima; trump; elu; kaart; laul
