EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,0,2,0,0,2,4,2,0,13,seadusriik; seadus; euroopa; demokraatia; bürokraatia
1,0,2,0,0,2,4,2,0,13,seadusriik; seadus; euroopa; demokraatia; bürokraatia
1,0,2,0,0,2,4,2,0,13,seadusriik; seadus; euroopa; demokraatia; bürokraatia
1,0,2,0,0,2,4,2,0,13,seadusriik; seadus; euroopa; demokraatia; bürokraatia
1,0,2,0,0,2,4,2,0,13,seadusriik; seadus; euroopa; demokraatia; bürokraatia
1,0,2,0,0,2,4,2,0,13,seadusriik; seadus; euroopa; demokraatia; bürokraatia
1,0,2,0,0,2,4,2,0,13,seadusriik; seadus; euroopa; demokraatia; bürokraatia
1,0,2,0,0,2,4,2,0,13,seadusriik; seadus; euroopa; demokraatia; bürokraatia
1,0,2,0,0,2,4,2,0,13,seadusriik; seadus; euroopa; demokraatia; bürokraatia
1,0,2,0,0,2,4,2,0,13,seadusriik; seadus; euroopa; demokraatia; bürokraatia
1,0,2,0,0,2,4,2,0,13,seadusriik; seadus; euroopa; demokraatia; bürokraatia
