EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,2,1,0,0,1,2,0,1,20,sostumus; johannes; kristus; jumal; gregorius
1,2,1,0,0,1,2,0,1,20,sostumus; johannes; kristus; jumal; gregorius
1,2,1,0,0,1,2,0,1,20,sostumus; johannes; kristus; jumal; gregorius
1,2,1,0,0,1,2,0,1,20,sostumus; johannes; kristus; jumal; gregorius
1,2,1,0,0,1,2,0,1,20,sostumus; johannes; kristus; jumal; gregorius
1,2,1,0,0,1,2,0,1,20,sostumus; johannes; kristus; jumal; gregorius
1,2,1,0,0,1,2,0,1,20,sostumus; johannes; kristus; jumal; gregorius
1,2,1,0,0,1,2,0,2,20,sostumus; johannes; kristus; jumal; gregorius
1,2,1,0,0,1,2,0,2,20,sostumus; johannes; kristus; jumal; gregorius
1,2,1,0,0,1,2,0,2,20,sostumus; johannes; kristus; jumal; gregorius
1,2,1,0,0,1,2,0,2,20,sostumus; johannes; kristus; jumal; gregorius
