EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,1,2,0,0,3,2,2,0,11,kultuuriseminar; väliseestlane; tallinn; kultuurisektor
1,1,2,0,0,3,2,2,0,11,kultuuriseminar; väliseestlane; tallinn; kultuurisektor
1,1,2,0,0,3,2,2,0,11,kultuuriseminar; väliseestlane; tallinn; kultuurisektor
1,1,2,0,0,3,2,2,0,11,kultuuriseminar; väliseestlane; tallinn; kultuurisektor
1,1,2,0,0,3,2,2,0,11,kultuuriseminar; väliseestlane; tallinn; kultuurisektor
1,1,2,0,0,3,2,2,0,11,kultuuriseminar; väliseestlane; tallinn; kultuurisektor
1,1,2,0,0,3,2,2,0,11,kultuuriseminar; väliseestlane; tallinn; kultuurisektor
1,1,1,0,0,3,2,2,0,11,kultuuriseminar; väliseestlane; tallinn; kultuurisektor
1,1,2,0,0,3,3,2,0,11,kultuuriseminar; väliseestlane; tallinn; kultuurisektor
1,1,0,0,0,3,3,2,0,11,kultuuriseminar; väliseestlane; tallinn; kultuurisektor
0,1,0,0,0,3,3,1,0,11,kultuuriseminar; väliseestlane; tallinn; kultuurisektor
