EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,1,0,2,3,0,0,0,1,11,vaba; organisatsioon; süsteem; kingitus; aeg
0,1,0,2,3,0,0,0,1,11,vaba; organisatsioon; süsteem; kingitus; aeg
0,1,0,2,3,0,0,0,1,11,vaba; organisatsioon; süsteem; kingitus; aeg
0,1,0,2,3,0,0,0,1,11,vaba; organisatsioon; süsteem; kingitus; aeg
0,1,0,2,3,0,0,0,1,11,vaba; organisatsioon; süsteem; kingitus; aeg
0,1,0,2,3,0,0,0,1,11,vaba; organisatsioon; süsteem; kingitus; aeg
0,1,0,2,3,0,0,0,1,11,vaba; organisatsioon; süsteem; kingitus; aeg
0,1,0,2,3,0,0,0,1,11,vaba; organisatsioon; süsteem; kingitus; aeg
0,1,0,2,3,0,0,0,1,11,vaba; organisatsioon; süsteem; kingitus; aeg
0,1,0,1,3,0,0,0,1,11,vaba; organisatsioon; süsteem; kingitus; aeg
1,0,0,1,3,0,0,0,1,11,vaba; organisatsioon; süsteem; kingitus; aeg
