EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,5,5,4,5,6,6,7,10,vaev; hing; jänesekapsas; hirm; kevadine; savi; muld; kodu; metsaalune; valu
6,5,5,5,4,5,6,6,7,10,vaev; hing; jänesekapsas; hirm; kevadine; savi; muld; kodu; metsaalune; valu
6,5,5,5,4,5,6,6,7,10,vaev; hing; jänesekapsas; hirm; kevadine; savi; muld; kodu; metsaalune; valu
6,5,5,5,4,5,6,6,8,10,vaev; hing; jänesekapsas; hirm; kevadine; savi; muld; kodu; metsaalune; valu
6,5,5,5,4,5,6,6,8,10,vaev; hing; jänesekapsas; hirm; kevadine; savi; muld; kodu; metsaalune; valu
6,5,5,5,4,5,6,6,8,10,vaev; hing; jänesekapsas; hirm; kevadine; savi; muld; kodu; metsaalune; valu
6,5,5,5,4,5,6,6,8,10,vaev; hing; jänesekapsas; hirm; kevadine; savi; muld; kodu; metsaalune; valu
6,5,5,5,4,5,6,6,8,10,vaev; hing; jänesekapsas; hirm; kevadine; savi; muld; kodu; metsaalune; valu
6,5,5,5,4,5,6,6,8,10,vaev; hing; jänesekapsas; hirm; kevadine; savi; muld; kodu; metsaalune; valu
6,5,5,5,4,5,6,6,8,10,vaev; hing; jänesekapsas; hirm; kevadine; savi; muld; kodu; metsaalune; valu
6,5,5,5,4,5,6,6,7,10,vaev; hing; jänesekapsas; hirm; kevadine; savi; muld; kodu; metsaalune; valu
