EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,1,3,1,0,3,3,4,2,13,meister; jaan; eurosonic; otsesaade; bänd; intervjuu; festival
1,1,3,1,0,3,3,4,2,13,meister; jaan; eurosonic; otsesaade; bänd; intervjuu; festival
1,1,3,1,0,3,3,4,2,13,meister; jaan; eurosonic; otsesaade; bänd; intervjuu; festival
1,1,3,1,0,3,3,4,2,13,meister; jaan; eurosonic; otsesaade; bänd; intervjuu; festival
1,1,2,1,0,3,3,4,2,13,meister; jaan; eurosonic; otsesaade; bänd; intervjuu; festival
1,1,2,1,0,3,2,4,2,13,meister; jaan; eurosonic; otsesaade; bänd; intervjuu; festival
1,1,2,4,0,2,2,4,2,13,meister; otsesaade; bänd; intervjuu; jaan; eurosonic; festival
0,2,1,1,0,3,1,3,2,13,meister; jaan; eurosonic; otsesaade; bänd; intervjuu; festival
1,2,2,2,0,3,1,3,2,13,artist; jaan; meister; eurosonic; bänd; intervjuu; festival
0,0,2,4,1,3,1,0,2,13,artist; meister; jaan; eurosonic; bänd; intervjuu; festival
0,1,2,4,1,4,1,0,2,13,meister; bänd; intervjuu; artist; jaan; eurosonic; festival
