EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,2,3,4,3,3,5,2,1,10,saatja; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu
3,2,3,4,3,3,5,2,2,10,saatja; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu
3,2,3,4,3,3,5,2,2,10,saatja; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu
3,2,3,4,3,3,5,2,2,10,saatja; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu
3,2,3,4,3,3,5,2,2,10,saatja; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu
3,2,3,4,3,3,5,2,2,10,saatja; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu
3,2,3,4,3,3,5,2,2,10,saatja; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu
3,2,4,4,3,3,5,2,2,10,saatja; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu
4,2,4,4,3,3,5,2,2,10,saatja; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu
4,2,4,3,3,3,5,2,2,10,saatja; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu
4,2,3,3,3,3,6,2,2,10,saatja; traditsioon; meeskoor; noor; koor; repertuaar; laulupidu
