EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,3,3,4,2,3,2,2,2,10,koer; säuts; eesmärk; ajutine; määrus; haridus; õpilane; öeldistäis; lausemall
2,3,3,4,2,3,2,2,2,10,koer; säuts; eesmärk; ajutine; määrus; haridus; õpilane; öeldistäis; lausemall
2,3,3,4,2,3,2,2,2,10,koer; säuts; eesmärk; ajutine; määrus; haridus; õpilane; öeldistäis; lausemall
2,3,3,4,2,3,2,2,2,10,koer; säuts; eesmärk; ajutine; määrus; haridus; õpilane; öeldistäis; lausemall
2,3,3,4,2,3,2,2,2,10,koer; säuts; eesmärk; ajutine; määrus; haridus; õpilane; öeldistäis; lausemall
2,3,3,4,2,3,2,2,2,10,koer; säuts; eesmärk; ajutine; määrus; haridus; õpilane; öeldistäis; lausemall
2,3,3,4,2,3,2,2,2,10,koer; säuts; eesmärk; ajutine; määrus; haridus; õpilane; öeldistäis; lausemall
2,3,3,4,2,3,2,2,2,10,koer; säuts; eesmärk; ajutine; määrus; haridus; õpilane; öeldistäis; lausemall
2,3,3,4,2,3,2,2,2,10,koer; säuts; eesmärk; ajutine; määrus; haridus; õpilane; öeldistäis; lausemall
2,3,3,4,2,3,2,2,2,10,koer; säuts; eesmärk; ajutine; määrus; haridus; õpilane; öeldistäis; lausemall
2,3,3,4,2,3,2,2,2,10,koer; säuts; eesmärk; ajutine; määrus; haridus; õpilane; öeldistäis; lausemall
