EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,3,3,1,3,4,4,4,2,10,sajand; nurk; mees; tüdruk; mittesuitsetaja; autojuht
2,3,3,1,3,4,4,4,2,10,sajand; nurk; mees; tüdruk; mittesuitsetaja; autojuht
2,3,3,1,3,4,4,4,2,10,sajand; nurk; mees; tüdruk; mittesuitsetaja; autojuht
2,3,3,1,3,4,4,4,2,10,sajand; nurk; mees; tüdruk; mittesuitsetaja; autojuht
2,3,3,1,3,4,4,4,2,10,sajand; nurk; mees; tüdruk; mittesuitsetaja; autojuht
2,3,3,1,3,4,4,4,2,10,sajand; nurk; mees; tüdruk; mittesuitsetaja; autojuht
2,3,3,1,3,4,4,4,2,10,sajand; nurk; mees; tüdruk; mittesuitsetaja; autojuht
2,3,3,1,3,4,4,4,2,10,sajand; nurk; mees; tüdruk; mittesuitsetaja; autojuht
2,3,3,1,3,4,4,4,2,10,sajand; nurk; mees; tüdruk; mittesuitsetaja; autojuht
2,3,3,1,3,4,4,4,2,10,sajand; nurk; mees; tüdruk; mittesuitsetaja; autojuht
2,3,3,1,3,4,4,4,2,10,sajand; nurk; mees; tüdruk; mittesuitsetaja; autojuht
