EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,1,1,3,0,1,1,3,3,13,vändra; jansen; selts; saksa-vastane; eesti; kirjutama
3,1,1,3,0,1,1,3,3,13,vändra; jansen; selts; saksa-vastane; eesti; kirjutama
3,1,1,3,0,1,1,3,3,13,vändra; jansen; selts; saksa-vastane; eesti; kirjutama
3,1,1,3,0,1,1,3,3,13,vändra; jansen; selts; saksa-vastane; eesti; kirjutama
3,1,1,3,0,1,1,3,3,13,vändra; jansen; selts; saksa-vastane; eesti; kirjutama
3,1,1,3,0,1,1,3,3,13,vändra; jansen; selts; saksa-vastane; eesti; kirjutama
3,0,1,3,0,2,1,3,3,13,vändra; jansen; selts; saksa-vastane; eesti; kirjutama
2,0,0,1,0,1,2,3,3,13,jansen; vändra; selts; saksa-vastane; eesti; kirjutama
1,0,2,1,0,1,1,2,3,13,vändra; jansen; selts; saksa-vastane; eesti; kirjutama
2,0,3,1,0,1,0,3,3,13,vändra; jansen; selts; saksa-vastane; eesti; kirjutama
2,0,3,1,0,2,0,2,2,13,vändra; jansen; selts; saksa-vastane; eesti; kirjutama
