EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,3,3,3,4,2,2,1,1,11,raamat; kreutzwald; sündmus; jakobson; eesti; inimene
2,3,3,3,4,2,2,1,1,11,raamat; kreutzwald; sündmus; jakobson; eesti; inimene
2,3,3,3,4,2,2,1,1,11,raamat; kreutzwald; sündmus; jakobson; eesti; inimene
2,3,3,3,4,2,2,1,1,11,raamat; kreutzwald; sündmus; jakobson; eesti; inimene
2,3,3,3,4,2,2,1,2,11,raamat; kreutzwald; sündmus; jakobson; eesti; inimene
2,3,3,3,4,2,2,1,1,11,raamat; kreutzwald; sündmus; jakobson; eesti; inimene
3,3,2,3,4,2,2,1,1,11,raamat; kreutzwald; sündmus; jakobson; eesti; inimene
2,3,3,3,4,2,2,1,2,11,raamat; kreutzwald; sündmus; jakobson; eesti; inimene
1,3,3,2,4,3,1,1,2,11,raamat; kreutzwald; jakobson; sündmus; eesti; inimene
1,3,3,2,4,3,1,1,2,11,raamat; kreutzwald; jakobson; sündmus; eesti; inimene
1,2,3,2,4,2,1,1,2,11,raamat; kreutzwald; jakobson; sündmus; eesti; inimene
