EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,3,1,1,3,1,1,1,2,11,washington; alandlikkus; autoriteet; ohtlik; seadus
1,3,1,1,3,1,1,1,2,11,washington; alandlikkus; autoriteet; ohtlik; seadus
1,3,1,1,3,1,1,1,2,11,washington; alandlikkus; autoriteet; ohtlik; seadus
1,3,1,1,3,1,1,1,2,11,washington; alandlikkus; autoriteet; ohtlik; seadus
1,3,1,1,3,1,1,1,2,11,washington; alandlikkus; autoriteet; ohtlik; seadus
1,3,1,1,3,1,1,1,2,11,washington; alandlikkus; autoriteet; ohtlik; seadus
1,3,1,1,3,1,1,1,2,11,washington; alandlikkus; autoriteet; ohtlik; seadus
1,3,1,1,3,1,1,1,2,11,washington; alandlikkus; autoriteet; ohtlik; seadus
1,3,1,1,3,1,1,1,2,11,washington; alandlikkus; autoriteet; ohtlik; seadus
1,3,1,1,3,1,1,1,2,11,washington; alandlikkus; autoriteet; ohtlik; seadus
1,3,1,1,3,1,1,1,2,11,washington; alandlikkus; autoriteet; ohtlik; seadus
