EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,5,4,2,3,2,4,5,4,13,martin; salaja; aasta; noorsooühing; vangla; nurk; raamat; ämber; sidepidamine; kommunistlik; ajaleht
2,5,4,2,3,2,4,5,5,13,martin; salaja; aasta; noorsooühing; vangla; nurk; raamat; ämber; sidepidamine; kommunistlik; ajaleht
2,5,4,2,3,2,4,5,5,13,martin; salaja; aasta; noorsooühing; vangla; nurk; raamat; ämber; sidepidamine; kommunistlik; ajaleht
2,5,4,2,3,2,4,5,5,13,martin; salaja; aasta; noorsooühing; vangla; nurk; raamat; ämber; sidepidamine; kommunistlik; ajaleht
2,5,4,2,3,2,4,5,5,13,martin; salaja; aasta; noorsooühing; vangla; nurk; raamat; ämber; sidepidamine; kommunistlik; ajaleht
2,5,4,2,3,2,4,5,5,13,martin; salaja; aasta; noorsooühing; vangla; nurk; raamat; ämber; sidepidamine; kommunistlik; ajaleht
2,5,4,2,3,2,4,5,5,13,martin; salaja; aasta; noorsooühing; vangla; nurk; raamat; ämber; sidepidamine; kommunistlik; ajaleht
2,5,4,2,3,2,4,5,5,13,martin; salaja; aasta; noorsooühing; vangla; nurk; raamat; ämber; sidepidamine; kommunistlik; ajaleht
2,5,4,2,3,2,4,5,6,13,martin; salaja; aasta; noorsooühing; vangla; nurk; raamat; ämber; sidepidamine; kommunistlik; ajaleht
2,5,4,2,3,2,4,5,4,13,martin; salaja; aasta; noorsooühing; vangla; nurk; raamat; ämber; sidepidamine; kommunistlik; ajaleht
2,5,4,2,3,2,4,5,4,13,martin; salaja; aasta; noorsooühing; vangla; nurk; raamat; ämber; sidepidamine; kommunistlik; ajaleht
