EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,5,2,0,0,2,2,3,0,10,vikerhommik; kool; muusika; tõnis; hommikuinimene; laul
2,5,2,0,0,2,2,3,0,10,vikerhommik; kool; muusika; tõnis; hommikuinimene; laul
2,5,2,0,0,2,2,3,0,10,vikerhommik; kool; muusika; tõnis; hommikuinimene; laul
2,5,2,0,0,2,2,3,0,10,vikerhommik; kool; muusika; tõnis; hommikuinimene; laul
2,5,2,0,0,2,2,3,0,10,vikerhommik; kool; muusika; tõnis; hommikuinimene; laul
2,5,2,0,0,2,2,3,0,10,vikerhommik; kool; muusika; tõnis; hommikuinimene; laul
2,5,2,0,0,2,2,3,0,10,vikerhommik; kool; muusika; tõnis; hommikuinimene; laul
2,5,2,0,0,2,2,3,0,10,vikerhommik; kool; muusika; tõnis; hommikuinimene; laul
2,5,2,0,0,2,2,3,0,10,vikerhommik; kool; muusika; tõnis; hommikuinimene; laul
2,5,2,0,0,2,2,3,0,10,vikerhommik; kool; muusika; tõnis; hommikuinimene; laul
2,5,2,0,0,2,2,3,0,10,vikerhommik; kool; muusika; tõnis; hommikuinimene; laul
