EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,2,2,2,0,2,2,1,1,10,laulma; kanada; ameerika; jutlus; tempel
1,2,2,2,0,2,2,1,1,10,laulma; kanada; ameerika; jutlus; tempel
1,2,2,2,0,2,2,1,1,10,laulma; kanada; ameerika; jutlus; tempel
1,2,2,2,0,2,2,1,1,10,laulma; kanada; ameerika; jutlus; tempel
1,2,2,2,0,2,2,1,1,10,laulma; kanada; ameerika; jutlus; tempel
1,2,2,2,0,2,2,1,1,10,laulma; kanada; ameerika; jutlus; tempel
1,2,2,2,0,2,2,1,1,10,laulma; kanada; ameerika; jutlus; tempel
1,2,2,2,0,2,2,1,1,10,laulma; kanada; ameerika; jutlus; tempel
1,2,2,2,0,2,2,1,1,10,laulma; kanada; ameerika; jutlus; tempel
1,2,2,2,0,2,2,1,1,10,laulma; kanada; ameerika; jutlus; tempel
1,2,2,2,0,2,2,1,1,10,laulma; kanada; ameerika; jutlus; tempel
