EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,7,5,7,4,3,5,6,5,10,elu; kaart; laul; viimne; leht; mäng; trump; saatus
6,7,5,7,4,3,5,6,5,10,elu; kaart; laul; viimne; leht; mäng; trump; saatus
6,7,5,7,4,3,5,6,5,10,elu; kaart; laul; viimne; leht; mäng; trump; saatus
6,7,5,7,4,3,5,6,5,10,elu; kaart; laul; viimne; leht; mäng; trump; saatus
6,7,5,7,4,3,5,6,5,10,elu; kaart; laul; viimne; leht; mäng; trump; saatus
6,7,5,7,4,3,5,6,5,10,elu; kaart; laul; viimne; leht; mäng; trump; saatus
6,7,5,7,4,3,5,6,5,10,elu; kaart; laul; viimne; leht; mäng; trump; saatus
6,7,5,7,4,3,5,6,5,10,elu; kaart; laul; viimne; leht; mäng; trump; saatus
6,7,5,7,4,3,5,6,5,10,elu; kaart; laul; viimne; leht; mäng; trump; saatus
6,7,5,7,4,3,5,6,5,10,elu; kaart; laul; viimne; leht; mäng; trump; saatus
6,7,5,7,4,3,5,6,5,10,elu; kaart; laul; viimne; leht; mäng; trump; saatus
