EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,1,4,3,0,3,5,5,4,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg; aktsia
4,1,4,3,0,3,5,5,4,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg; aktsia
4,1,4,3,0,3,5,5,4,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg; aktsia
4,1,4,3,0,3,5,5,4,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg; aktsia
4,1,4,3,0,3,5,5,4,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg; aktsia
4,1,4,3,0,3,5,5,4,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg; aktsia
4,1,4,3,0,3,5,5,4,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg; aktsia
4,1,4,3,0,3,5,5,4,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg; aktsia
4,1,4,3,0,3,5,5,4,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg; aktsia
4,1,4,3,0,3,5,5,4,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg; aktsia
4,1,4,3,0,3,5,5,4,10,õigus; talu; vabadus; taluseadus; kolhoos; varandus; talupoeg; aktsia
