EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,5,3,3,1,4,4,4,2,14,kollektiiv; ehitusvalitsus; põlevkivitootja; võti; üleliiduline; partei; põlevkivikaevandus; ehitaja; nõukogu; kommunistlik
3,5,3,3,1,4,4,4,2,14,kollektiiv; ehitusvalitsus; põlevkivitootja; võti; üleliiduline; partei; põlevkivikaevandus; ehitaja; nõukogu; kommunistlik
3,5,3,3,1,4,4,4,2,14,kollektiiv; ehitusvalitsus; põlevkivitootja; võti; üleliiduline; partei; põlevkivikaevandus; ehitaja; nõukogu; kommunistlik
3,5,3,3,1,4,4,4,2,14,kollektiiv; ehitusvalitsus; põlevkivitootja; võti; üleliiduline; partei; põlevkivikaevandus; ehitaja; nõukogu; kommunistlik
3,5,3,3,1,4,4,4,2,14,kollektiiv; ehitusvalitsus; põlevkivitootja; võti; üleliiduline; partei; põlevkivikaevandus; ehitaja; nõukogu; kommunistlik
3,5,3,3,1,4,4,4,2,14,kollektiiv; ehitusvalitsus; põlevkivitootja; võti; üleliiduline; partei; põlevkivikaevandus; ehitaja; nõukogu; kommunistlik
3,5,3,3,1,4,4,4,2,14,kollektiiv; ehitusvalitsus; põlevkivitootja; võti; üleliiduline; partei; põlevkivikaevandus; ehitaja; nõukogu; kommunistlik
3,5,3,3,1,4,4,4,2,14,kollektiiv; ehitusvalitsus; põlevkivitootja; võti; üleliiduline; partei; põlevkivikaevandus; ehitaja; nõukogu; kommunistlik
3,5,3,3,1,4,4,4,2,14,kollektiiv; ehitusvalitsus; põlevkivitootja; võti; üleliiduline; partei; põlevkivikaevandus; ehitaja; nõukogu; kommunistlik
3,5,3,3,1,4,4,4,2,14,kollektiiv; ehitusvalitsus; põlevkivitootja; võti; üleliiduline; partei; põlevkivikaevandus; ehitaja; nõukogu; kommunistlik
3,5,3,3,1,4,4,4,2,14,kollektiiv; ehitusvalitsus; põlevkivitootja; võti; üleliiduline; partei; põlevkivikaevandus; ehitaja; nõukogu; kommunistlik
