EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,4,2,4,0,6,8,5,0,13,muusikamaitse; eesti; rada; maailmameistrivõistlus; lemmiklaul; kümnevõistleja; mercury; andres; klassikaraadio; olümpiamängud
1,4,2,4,0,6,8,5,0,13,muusikamaitse; eesti; rada; maailmameistrivõistlus; lemmiklaul; kümnevõistleja; mercury; andres; klassikaraadio; olümpiamängud
1,4,2,4,0,6,8,5,0,13,muusikamaitse; eesti; rada; maailmameistrivõistlus; lemmiklaul; kümnevõistleja; mercury; andres; klassikaraadio; olümpiamängud
1,4,2,4,0,6,8,5,0,13,muusikamaitse; eesti; rada; maailmameistrivõistlus; lemmiklaul; kümnevõistleja; mercury; andres; klassikaraadio; olümpiamängud
1,4,2,4,0,6,8,5,0,13,muusikamaitse; eesti; rada; maailmameistrivõistlus; lemmiklaul; kümnevõistleja; mercury; andres; klassikaraadio; olümpiamängud
1,4,2,4,0,6,8,5,0,13,muusikamaitse; eesti; rada; maailmameistrivõistlus; lemmiklaul; kümnevõistleja; mercury; andres; klassikaraadio; olümpiamängud
1,4,2,4,0,6,8,5,0,13,muusikamaitse; eesti; rada; maailmameistrivõistlus; lemmiklaul; kümnevõistleja; mercury; andres; klassikaraadio; olümpiamängud
1,4,2,4,0,6,8,5,0,13,muusikamaitse; eesti; rada; maailmameistrivõistlus; lemmiklaul; kümnevõistleja; mercury; andres; klassikaraadio; olümpiamängud
1,4,2,4,0,6,8,5,0,13,muusikamaitse; eesti; rada; maailmameistrivõistlus; lemmiklaul; kümnevõistleja; mercury; andres; klassikaraadio; olümpiamängud
1,4,2,4,0,6,8,5,0,13,muusikamaitse; eesti; rada; maailmameistrivõistlus; lemmiklaul; kümnevõistleja; mercury; andres; klassikaraadio; olümpiamängud
1,4,2,4,0,6,8,5,0,13,muusikamaitse; eesti; rada; maailmameistrivõistlus; lemmiklaul; kümnevõistleja; mercury; andres; klassikaraadio; olümpiamängud
