EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,7,6,6,7,6,6,7,12,mängusõber; mängima; saatus; mäng; varrukas; käima; trump; elu; kaart; laul
7,6,7,6,6,7,6,6,7,12,mängusõber; mängima; saatus; mäng; varrukas; käima; trump; elu; kaart; laul
7,6,7,6,6,7,6,6,7,12,mängusõber; mängima; saatus; mäng; varrukas; käima; trump; elu; kaart; laul
7,6,7,6,6,7,6,6,7,12,mängusõber; mängima; saatus; mäng; varrukas; käima; trump; elu; kaart; laul
7,6,7,6,6,7,6,6,7,12,mängusõber; mängima; saatus; mäng; varrukas; käima; trump; elu; kaart; laul
7,6,7,6,6,7,6,6,7,12,mängusõber; mängima; saatus; mäng; varrukas; käima; trump; elu; kaart; laul
7,6,7,6,6,7,6,6,7,12,mängusõber; mängima; saatus; mäng; varrukas; käima; trump; elu; kaart; laul
7,6,7,6,6,7,6,6,7,12,mängusõber; mängima; saatus; mäng; varrukas; käima; trump; elu; kaart; laul
7,6,7,6,6,7,6,6,7,12,mängusõber; mängima; saatus; mäng; varrukas; käima; trump; elu; kaart; laul
7,6,7,6,6,7,6,6,7,12,mängusõber; mängima; saatus; mäng; varrukas; käima; trump; elu; kaart; laul
7,6,7,6,6,7,6,6,7,12,mängusõber; mängima; saatus; mäng; varrukas; käima; trump; elu; kaart; laul
