EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,2,1,2,1,1,1,1,1,11,polk; lõuna-eesti; tants; simman
1,2,1,2,1,1,1,1,1,11,polk; lõuna-eesti; tants; simman
1,2,1,2,1,1,1,1,1,11,polk; lõuna-eesti; tants; simman
1,2,1,2,1,1,1,1,1,11,polk; lõuna-eesti; tants; simman
1,2,1,2,1,1,1,1,1,11,polk; lõuna-eesti; tants; simman
1,2,1,2,1,1,1,1,1,11,polk; lõuna-eesti; tants; simman
1,2,1,2,1,0,1,1,1,11,polk; lõuna-eesti; tants; simman
2,2,1,1,1,0,1,1,1,11,polk; lõuna-eesti; tants; simman
2,2,2,2,1,0,1,1,1,11,polk; lõuna-eesti; tants; simman
3,2,2,2,1,0,1,1,1,11,polk; lõuna-eesti; tants; simman
3,2,2,1,1,0,1,1,1,11,polk; lõuna-eesti; tants; simman
