EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,3,1,2,1,3,2,3,0,12,ajutine; määrus; lauseliige; öeldistäis; lausemall; seisund
2,3,1,2,1,3,2,3,0,12,ajutine; määrus; lauseliige; öeldistäis; lausemall; seisund
2,3,1,2,1,3,2,3,0,12,ajutine; määrus; lauseliige; öeldistäis; lausemall; seisund
2,3,1,2,1,3,2,3,0,12,ajutine; määrus; lauseliige; öeldistäis; lausemall; seisund
2,3,1,2,1,3,2,3,0,12,ajutine; määrus; lauseliige; öeldistäis; lausemall; seisund
2,3,1,2,1,3,2,3,0,12,ajutine; määrus; lauseliige; öeldistäis; lausemall; seisund
2,3,1,2,1,3,2,3,0,12,ajutine; määrus; lauseliige; öeldistäis; lausemall; seisund
2,3,1,2,1,3,2,3,0,12,ajutine; määrus; lauseliige; öeldistäis; lausemall; seisund
2,3,1,2,1,3,2,3,0,12,ajutine; määrus; lauseliige; öeldistäis; lausemall; seisund
2,3,1,2,1,3,2,3,0,12,ajutine; määrus; lauseliige; öeldistäis; lausemall; seisund
2,3,1,2,1,3,2,3,0,12,ajutine; määrus; lauseliige; öeldistäis; lausemall; seisund
