EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,4,4,2,0,2,3,4,2,13,september; vikerhommik; mälestus; rokkmuusika; muusikapala; tõnismägi; muusika; tõnis; vikerraadio; muusik; klassikaline
3,4,4,2,0,2,3,4,2,13,september; vikerhommik; mälestus; rokkmuusika; muusikapala; tõnismägi; muusika; tõnis; vikerraadio; muusik; klassikaline
3,4,4,2,0,2,3,4,2,13,september; vikerhommik; mälestus; rokkmuusika; muusikapala; tõnismägi; muusika; tõnis; vikerraadio; muusik; klassikaline
3,4,4,2,0,2,3,4,2,13,september; vikerhommik; mälestus; rokkmuusika; muusikapala; tõnismägi; muusika; tõnis; vikerraadio; muusik; klassikaline
3,4,4,2,0,2,3,4,2,13,september; vikerhommik; mälestus; rokkmuusika; muusikapala; tõnismägi; muusika; tõnis; vikerraadio; muusik; klassikaline
3,4,4,2,0,2,3,4,2,13,september; vikerhommik; mälestus; rokkmuusika; muusikapala; tõnismägi; muusika; tõnis; vikerraadio; muusik; klassikaline
3,4,4,2,0,2,3,4,2,13,september; vikerhommik; mälestus; rokkmuusika; muusikapala; tõnismägi; muusika; tõnis; vikerraadio; muusik; klassikaline
3,4,4,2,0,2,3,4,2,13,september; vikerhommik; mälestus; rokkmuusika; muusikapala; tõnismägi; muusika; tõnis; vikerraadio; muusik; klassikaline
3,4,4,2,0,2,3,4,2,13,september; vikerhommik; mälestus; rokkmuusika; muusikapala; tõnismägi; muusika; tõnis; vikerraadio; muusik; klassikaline
3,4,4,2,0,2,3,4,2,13,september; vikerhommik; mälestus; rokkmuusika; muusikapala; tõnismägi; muusika; tõnis; vikerraadio; muusik; klassikaline
3,4,4,2,0,2,3,4,2,13,september; vikerhommik; mälestus; rokkmuusika; muusikapala; tõnismägi; muusika; tõnis; vikerraadio; muusik; klassikaline
