EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,4,3,2,0,2,5,2,2,11,vaev; savi; hirm; ihu; kevadine; muld; hing; põrm
7,4,3,2,0,2,5,2,2,11,vaev; savi; hirm; ihu; kevadine; muld; hing; põrm
7,4,3,2,0,2,5,2,2,11,vaev; savi; hirm; ihu; kevadine; muld; hing; põrm
7,4,3,2,0,2,5,2,2,11,vaev; savi; hirm; ihu; kevadine; muld; hing; põrm
7,4,3,2,0,2,5,2,2,11,vaev; savi; hirm; ihu; kevadine; muld; hing; põrm
7,4,3,2,0,2,5,2,2,11,vaev; savi; hirm; ihu; kevadine; muld; hing; põrm
7,4,3,2,0,2,5,2,2,11,vaev; savi; hirm; ihu; kevadine; muld; hing; põrm
7,4,3,2,0,2,5,2,2,11,vaev; savi; hirm; ihu; kevadine; muld; hing; põrm
7,4,3,2,0,2,5,2,2,11,vaev; savi; hirm; ihu; kevadine; muld; hing; põrm
7,4,3,2,0,2,5,2,2,11,vaev; savi; hirm; ihu; kevadine; muld; hing; põrm
7,4,3,2,0,2,5,2,2,11,vaev; savi; hirm; ihu; kevadine; muld; hing; põrm
