EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,2,3,4,2,3,2,2,1,14,tehnoloogia; kristjan; uudis; internet; port; cbs; dvd-plaat; kommentaar
1,2,3,4,2,3,2,2,1,14,tehnoloogia; kristjan; uudis; internet; port; cbs; dvd-plaat; kommentaar
1,2,3,4,2,3,2,2,1,14,tehnoloogia; kristjan; uudis; internet; port; cbs; dvd-plaat; kommentaar
1,2,3,4,2,3,2,2,1,14,tehnoloogia; kristjan; uudis; internet; port; cbs; dvd-plaat; kommentaar
1,2,3,4,2,3,2,2,1,14,tehnoloogia; kristjan; uudis; internet; port; cbs; dvd-plaat; kommentaar
1,2,3,4,2,3,2,2,1,14,tehnoloogia; kristjan; uudis; internet; port; cbs; dvd-plaat; kommentaar
1,2,3,4,2,3,2,2,1,14,tehnoloogia; kristjan; uudis; internet; port; cbs; dvd-plaat; kommentaar
1,2,3,4,2,3,2,2,1,14,tehnoloogia; kristjan; uudis; internet; port; cbs; dvd-plaat; kommentaar
1,2,3,3,2,3,2,2,1,14,tehnoloogia; kristjan; port; uudis; internet; cbs; dvd-plaat; kommentaar
1,2,3,3,2,3,2,3,1,14,tehnoloogia; kristjan; port; uudis; internet; cbs; dvd-plaat; kommentaar
1,1,3,3,2,3,3,3,1,14,tehnoloogia; kristjan; port; uudis; internet; cbs; dvd-plaat; kommentaar
