EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,4,4,1,0,2,2,4,4,10,töö; õigus; talu; vabadus; taluseadus; kolhoos; varandus; iseseisvus; kompenseerima
1,4,4,1,0,2,2,4,4,10,töö; õigus; talu; vabadus; taluseadus; kolhoos; varandus; iseseisvus; kompenseerima
1,4,4,1,0,2,2,4,4,10,töö; õigus; talu; vabadus; taluseadus; kolhoos; varandus; iseseisvus; kompenseerima
1,4,4,1,0,2,2,4,4,10,töö; õigus; talu; vabadus; taluseadus; kolhoos; varandus; iseseisvus; kompenseerima
1,4,4,1,0,2,2,4,3,10,töö; õigus; talu; vabadus; taluseadus; kolhoos; varandus; iseseisvus; kompenseerima
1,4,4,1,0,2,2,4,3,10,töö; õigus; talu; vabadus; taluseadus; kolhoos; varandus; iseseisvus; kompenseerima
1,4,4,1,0,2,2,4,3,10,töö; õigus; talu; vabadus; taluseadus; kolhoos; varandus; iseseisvus; kompenseerima
1,4,4,1,0,2,2,4,3,10,töö; õigus; talu; vabadus; taluseadus; kolhoos; varandus; iseseisvus; kompenseerima
1,4,4,1,0,2,2,4,3,10,töö; õigus; talu; vabadus; taluseadus; kolhoos; varandus; iseseisvus; kompenseerima
1,4,4,1,0,2,2,4,3,10,töö; õigus; talu; vabadus; taluseadus; kolhoos; varandus; iseseisvus; kompenseerima
1,4,4,1,0,2,2,4,3,10,töö; õigus; talu; vabadus; taluseadus; kolhoos; varandus; iseseisvus; kompenseerima
