EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,6,7,3,6,5,6,8,13,ants; riidaja; marika; taul; koolitus; soots; kodukohvik; turismitalu
8,5,6,7,4,6,5,6,8,13,ants; riidaja; marika; taul; koolitus; soots; kodukohvik; turismitalu
7,5,6,7,4,6,4,6,8,13,ants; riidaja; marika; taul; koolitus; soots; kodukohvik; turismitalu
7,5,8,7,5,6,3,7,7,13,ants; riidaja; marika; taul; koolitus; soots; kodukohvik; turismitalu
7,5,8,7,5,5,6,7,7,13,ants; riidaja; marika; taul; koolitus; soots; kodukohvik; turismitalu
5,5,8,7,5,6,7,7,7,13,ants; riidaja; marika; taul; koolitus; soots; kodukohvik; turismitalu
6,5,8,7,6,6,7,8,6,13,ants; riidaja; marika; taul; koolitus; soots; kodukohvik; turismitalu
6,7,7,6,8,6,7,8,6,13,ants; riidaja; marika; taul; koolitus; soots; kodukohvik; turismitalu
6,7,8,6,8,6,8,8,7,13,ants; riidaja; marika; taul; koolitus; soots; kodukohvik; turismitalu
4,7,8,6,8,7,8,8,7,13,ants; riidaja; marika; taul; koolitus; soots; kodukohvik; turismitalu
4,8,7,7,7,6,8,8,8,13,ants; riidaja; marika; taul; koolitus; soots; kodukohvik; turismitalu
