EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,1,6,3,5,5,6,0,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
7,6,2,6,3,6,4,6,0,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
7,6,4,6,3,6,4,6,0,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
7,6,4,6,3,6,4,6,0,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
6,6,4,6,3,4,4,6,0,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
6,6,5,7,3,4,4,6,0,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
4,5,5,5,4,6,3,6,0,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
6,5,4,5,5,4,6,6,0,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
2,6,5,6,7,4,4,7,0,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
2,7,5,5,7,6,5,7,0,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
2,5,5,5,6,6,6,5,0,11,rahvatants; jüri; tallinn; tartu; kirjandus; juured; arrak
