EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,3,4,4,4,9,5,0,15,biitlid; lennon; kuuekümnendad; kuumad; ed; maania; epstein; brian; ringo; mccartney; harrison; george
6,6,3,4,4,4,8,5,0,15,biitlid; lennon; kuuekümnendad; kuumad; ed; maania; epstein; brian; ringo; mccartney; harrison; george
6,6,6,4,4,4,8,5,0,15,biitlid; lennon; kuuekümnendad; kuumad; ed; maania; epstein; brian; ringo; mccartney; harrison; george
6,6,7,3,4,4,8,5,0,15,biitlid; lennon; kuuekümnendad; kuumad; ed; maania; epstein; brian; ringo; mccartney; harrison; george
7,6,7,4,4,2,7,5,0,15,biitlid; maania; lennon; epstein; brian; george; ringo; mccartney; kuumad; kuuekümnendad; harrison; ed
8,6,7,5,6,5,8,5,0,15,biitlid; lennon; george; kuuekümnendad; kuumad; ed; maania; epstein; brian; ringo; mccartney; harrison
5,4,8,9,7,5,6,7,0,15,biitlid; lennon; george; kuuekümnendad; kuumad; ed; maania; epstein; brian; ringo; mccartney; harrison
3,4,7,8,7,6,7,7,0,15,biitlid; lennon; kuuekümnendad; kuumad; ed; maania; epstein; brian; ringo; mccartney; harrison; george
5,5,8,8,8,5,8,6,0,15,biitlid; lennon; kuuekümnendad; kuumad; ed; maania; epstein; brian; harrison; ringo; mccartney; george
3,3,8,8,8,8,8,5,0,15,biitlid; lennon; kuuekümnendad; kuumad; ed; maania; epstein; brian; harrison; mccartney; ringo; george
3,2,6,8,8,10,8,6,0,15,biitlid; lennon; kuuekümnendad; kuumad; ed; maania; epstein; brian; harrison; ringo; mccartney; george
