EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,5,6,7,6,5,5,7,6,12,regulatsioon; andmete; kuhjumine; tavakodanik; andmesubjekt; infoajastu; euroopa
7,5,6,7,6,5,5,7,6,12,regulatsioon; andmete; kuhjumine; tavakodanik; andmesubjekt; infoajastu; euroopa
7,5,7,7,6,5,5,7,6,12,regulatsioon; andmete; kuhjumine; tavakodanik; andmesubjekt; infoajastu; euroopa
7,4,7,7,6,5,5,6,6,12,regulatsioon; andmete; kuhjumine; tavakodanik; andmesubjekt; infoajastu; euroopa
7,4,7,7,6,5,5,7,6,12,regulatsioon; andmete; kuhjumine; tavakodanik; andmesubjekt; infoajastu; euroopa
6,5,7,7,6,5,5,7,6,12,andmete; regulatsioon; kuhjumine; tavakodanik; andmesubjekt; infoajastu; euroopa
6,5,7,7,6,6,5,6,6,12,andmete; regulatsioon; kuhjumine; tavakodanik; andmesubjekt; infoajastu; euroopa
5,5,7,7,6,6,5,7,6,12,regulatsioon; kuhjumine; tavakodanik; euroopa; andmesubjekt; infoajastu; andmete
5,5,7,7,7,6,5,7,6,12,regulatsioon; kuhjumine; tavakodanik; euroopa; andmesubjekt; infoajastu; andmete
4,6,6,6,7,4,5,7,7,12,regulatsioon; andmete; kuhjumine; tavakodanik; andmesubjekt; infoajastu; euroopa
4,7,6,7,7,5,5,6,7,12,andmete; regulatsioon; kuhjumine; tavakodanik; andmesubjekt; infoajastu; euroopa
