EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,4,6,3,6,6,6,0,12,teatritrupp; vilimaa; kultuuripäevad; ülo; vanemuise; tšehhoslovakkia
6,6,4,6,3,6,6,6,0,12,teatritrupp; vilimaa; kultuuripäevad; ülo; vanemuise; tšehhoslovakkia
6,6,4,6,3,6,6,6,0,12,teatritrupp; vilimaa; kultuuripäevad; ülo; vanemuise; tšehhoslovakkia
6,6,6,6,3,6,6,6,0,12,teatritrupp; vilimaa; kultuuripäevad; ülo; vanemuise; tšehhoslovakkia
6,6,6,6,5,6,6,6,0,12,teatritrupp; vilimaa; kultuuripäevad; ülo; vanemuise; tšehhoslovakkia
6,6,6,6,5,6,6,6,0,12,teatritrupp; vilimaa; kultuuripäevad; ülo; vanemuise; tšehhoslovakkia
6,6,6,6,5,6,6,6,0,12,teatritrupp; vilimaa; kultuuripäevad; ülo; vanemuise; tšehhoslovakkia
6,6,6,6,6,6,6,6,0,12,teatritrupp; vilimaa; kultuuripäevad; ülo; vanemuise; tšehhoslovakkia
6,6,6,6,6,6,6,6,0,12,teatritrupp; vilimaa; kultuuripäevad; ülo; vanemuise; tšehhoslovakkia
6,6,6,6,6,5,6,6,0,12,teatritrupp; vilimaa; kultuuripäevad; ülo; vanemuise; tšehhoslovakkia
6,6,6,6,6,5,6,6,0,12,teatritrupp; vilimaa; kultuuripäevad; ülo; vanemuise; tšehhoslovakkia
