EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,6,9,7,4,8,7,4,0,12,kunstid; kirjutama; klassik; iroonia; imelaps; mati; unt; kirjandus; kaunid; kommunism
8,6,9,6,4,8,7,4,0,12,kunstid; kirjutama; klassik; iroonia; imelaps; mati; unt; kirjandus; kaunid; kommunism
8,6,9,6,3,7,7,4,0,12,kunstid; kirjutama; klassik; iroonia; imelaps; mati; unt; kirjandus; kaunid; kommunism
9,6,9,6,4,7,8,4,0,12,kunstid; kirjutama; klassik; iroonia; imelaps; mati; unt; kirjandus; kaunid; kommunism
9,6,9,6,3,6,8,4,0,12,kunstid; kirjutama; klassik; iroonia; imelaps; mati; unt; kirjandus; kaunid; kommunism
9,6,8,6,4,5,7,3,0,12,kunstid; kirjutama; klassik; iroonia; imelaps; mati; unt; kirjandus; kaunid; kommunism
9,4,8,6,5,7,9,3,0,12,imelaps; kirjandus; kommunism; kunstid; kirjutama; klassik; iroonia; mati; unt; kaunid
8,5,8,5,5,7,10,3,0,12,imelaps; kirjandus; kommunism; kunstid; klassik; kirjutama; iroonia; mati; unt; kaunid
7,7,10,5,5,7,7,4,0,12,imelaps; kirjandus; kommunism; kunstid; kirjutama; klassik; iroonia; mati; unt; kaunid
7,8,8,6,6,6,9,4,0,12,imelaps; kirjandus; kommunism; kunstid; kirjutama; klassik; iroonia; mati; unt; kaunid
7,9,7,6,6,6,8,5,0,12,imelaps; kirjandus; kommunism; kunstid; kirjutama; klassik; iroonia; mati; unt; kaunid
