EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,10,7,10,3,9,8,9,6,13,keeleoskus; haridussüsteem; võõrkeel; inglise; keel; keelepoliitika; keelterikas; raamdokument; mitmekeelsus; keeleõppe; kolmkeelsus; riigikeel; euroopa
11,10,7,10,3,8,9,9,6,13,keeleoskus; haridussüsteem; võõrkeel; inglise; keel; keelepoliitika; keelterikas; raamdokument; mitmekeelsus; keeleõppe; kolmkeelsus; riigikeel; euroopa
11,10,7,11,3,8,9,9,6,13,keeleoskus; haridussüsteem; võõrkeel; inglise; keel; keelepoliitika; keelterikas; raamdokument; mitmekeelsus; keeleõppe; kolmkeelsus; riigikeel; euroopa
11,9,7,10,4,8,9,9,6,13,keeleoskus; haridussüsteem; võõrkeel; inglise; keel; keelepoliitika; keelterikas; raamdokument; mitmekeelsus; keeleõppe; kolmkeelsus; riigikeel; euroopa
11,8,7,8,4,8,9,10,6,13,keeleoskus; haridussüsteem; võõrkeel; inglise; keel; keelepoliitika; keelterikas; raamdokument; mitmekeelsus; keeleõppe; kolmkeelsus; riigikeel; euroopa
10,9,7,8,5,8,8,9,5,13,keeleoskus; haridussüsteem; võõrkeel; inglise; keel; keelepoliitika; keelterikas; raamdokument; mitmekeelsus; keeleõppe; kolmkeelsus; riigikeel; euroopa
6,7,6,6,4,8,9,8,6,13,keeleoskus; haridussüsteem; võõrkeel; inglise; keel; keelepoliitika; keelterikas; raamdokument; mitmekeelsus; keeleõppe; kolmkeelsus; riigikeel; euroopa
4,7,6,6,3,6,8,7,6,13,keeleoskus; haridussüsteem; võõrkeel; inglise; keelepoliitika; keel; keelterikas; raamdokument; mitmekeelsus; keeleõppe; kolmkeelsus; riigikeel; euroopa
5,8,5,5,5,4,7,5,6,13,keeleoskus; haridussüsteem; võõrkeel; inglise; keel; keelepoliitika; keelterikas; raamdokument; mitmekeelsus; keeleõppe; kolmkeelsus; riigikeel; euroopa
5,7,3,4,4,5,8,6,7,13,keeleoskus; haridussüsteem; võõrkeel; inglise; keel; keelepoliitika; keelterikas; raamdokument; mitmekeelsus; keeleõppe; kolmkeelsus; riigikeel; euroopa
5,7,5,4,5,4,7,2,7,13,keeleoskus; haridussüsteem; võõrkeel; inglise; keel; keelepoliitika; keelterikas; raamdokument; mitmekeelsus; keeleõppe; kolmkeelsus; riigikeel; euroopa
