EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,6,4,2,5,2,6,6,0,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
4,6,5,2,5,2,5,6,0,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
4,6,5,2,6,3,5,6,0,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
4,6,5,2,6,3,5,6,0,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
4,6,5,2,6,4,5,6,0,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
5,6,5,2,6,4,5,6,0,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
4,6,5,4,6,5,5,6,0,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
5,6,5,5,6,4,5,6,0,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
5,6,4,5,6,4,4,5,0,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
5,6,5,5,6,4,4,5,0,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
5,4,5,5,6,5,3,5,0,11,trahv; suhkrutrahv; karistus; facebook; andmete; aktsia
