EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,8,7,1,6,6,6,0,12,rahulolu; gazprom; enn; kultuurisõber; kunila; klaasikunstnik; kreeka; euroopa; baltika; liit
7,6,8,7,1,6,7,6,0,12,rahulolu; gazprom; enn; kultuurisõber; kunila; klaasikunstnik; kreeka; euroopa; baltika; liit
6,6,8,7,1,6,7,6,0,12,rahulolu; gazprom; enn; kultuurisõber; kunila; klaasikunstnik; kreeka; euroopa; baltika; liit
5,6,9,8,1,8,9,6,0,12,klaasikunstnik; kreeka; euroopa; baltika; liit; rahulolu; gazprom; enn; kultuurisõber; kunila
6,6,8,8,2,8,8,6,0,12,rahulolu; gazprom; enn; kultuurisõber; kunila; klaasikunstnik; kreeka; euroopa; baltika; liit
7,6,6,8,3,8,10,6,0,12,klaasikunstnik; euroopa; kreeka; baltika; liit; rahulolu; gazprom; enn; kultuurisõber; kunila
5,5,7,8,4,8,9,6,0,12,klaasikunstnik; kreeka; euroopa; baltika; liit; rahulolu; gazprom; enn; kultuurisõber; kunila
4,4,7,7,4,7,10,6,0,12,klaasikunstnik; euroopa; kreeka; baltika; liit; rahulolu; gazprom; enn; kultuurisõber; kunila
4,3,8,6,5,7,6,6,0,12,rahulolu; gazprom; enn; kultuurisõber; kunila; klaasikunstnik; kreeka; euroopa; baltika; liit
5,3,6,5,7,6,7,6,0,12,rahulolu; gazprom; enn; kultuurisõber; kunila; klaasikunstnik; kreeka; euroopa; baltika; liit
5,3,5,5,6,6,5,6,0,12,rahulolu; gazprom; enn; kultuurisõber; kunila; klaasikunstnik; kreeka; euroopa; baltika; liit
