EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,3,3,3,2,2,1,2,10,kirjastaja; kuulsus; käsikiri; kriitika; häda
3,3,3,3,3,2,2,1,2,10,kirjastaja; kuulsus; käsikiri; kriitika; häda
3,3,2,3,2,2,3,2,2,10,kirjastaja; kuulsus; käsikiri; kriitika; häda
3,3,3,3,2,2,2,2,2,10,kirjastaja; kuulsus; käsikiri; kriitika; häda
3,3,3,3,2,2,2,4,2,10,kirjastaja; käsikiri; kriitika; kuulsus; häda
3,3,3,3,1,3,4,4,2,10,kirjastaja; käsikiri; kriitika; kuulsus; häda
2,1,4,2,1,1,2,5,2,10,kirjastaja; käsikiri; kriitika; kuulsus; häda
1,1,4,1,1,3,2,5,3,10,kirjastaja; käsikiri; kriitika; kuulsus; häda
2,2,3,3,0,3,3,4,4,10,kirjastaja; käsikiri; kriitika; kuulsus; häda
2,1,2,2,0,2,2,4,4,10,kirjastaja; käsikiri; kriitika; kuulsus; häda
2,1,2,2,0,4,2,3,3,10,häda; kirjastaja; käsikiri; kriitika; kuulsus
