EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
14,14,14,14,14,14,14,14,0,16,vahur; tiisler; tunnustus; tarmo; jürgens; kersna; tõnu; lasmann; peeter; piret; kriivan; tähelepanu; toomas; naissoo
14,14,14,14,14,14,14,14,0,16,vahur; tiisler; tunnustus; tarmo; jürgens; kersna; tõnu; lasmann; peeter; piret; kriivan; tähelepanu; toomas; naissoo
14,14,14,14,14,14,14,14,0,16,vahur; tiisler; tunnustus; tarmo; jürgens; kersna; tõnu; lasmann; peeter; piret; kriivan; tähelepanu; toomas; naissoo
14,14,14,14,14,14,14,14,0,16,vahur; tiisler; tunnustus; tarmo; jürgens; kersna; tõnu; lasmann; peeter; piret; kriivan; tähelepanu; toomas; naissoo
14,14,14,14,14,14,14,14,0,16,vahur; tiisler; tunnustus; tarmo; jürgens; kersna; tõnu; lasmann; peeter; piret; kriivan; tähelepanu; toomas; naissoo
14,14,14,14,14,14,14,14,0,16,vahur; tiisler; tunnustus; tarmo; jürgens; kersna; tõnu; lasmann; peeter; piret; kriivan; tähelepanu; toomas; naissoo
14,14,14,14,14,14,14,14,0,16,vahur; tiisler; tunnustus; tarmo; jürgens; kersna; tõnu; lasmann; peeter; piret; kriivan; tähelepanu; toomas; naissoo
14,14,14,14,14,14,14,14,0,16,vahur; tiisler; tunnustus; tarmo; jürgens; kersna; tõnu; lasmann; peeter; piret; kriivan; tähelepanu; toomas; naissoo
14,14,14,14,14,14,14,14,0,16,vahur; tiisler; tunnustus; tarmo; jürgens; kersna; tõnu; lasmann; peeter; piret; kriivan; tähelepanu; toomas; naissoo
14,14,14,14,14,14,14,14,0,16,vahur; tiisler; tunnustus; tarmo; jürgens; kersna; tõnu; lasmann; peeter; piret; kriivan; tähelepanu; toomas; naissoo
14,14,14,14,14,14,14,14,0,16,vahur; tiisler; tunnustus; tarmo; jürgens; kersna; tõnu; lasmann; peeter; piret; kriivan; tähelepanu; toomas; naissoo
