EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,9,7,2,3,6,6,6,0,11,mozart; gerretz; solist; dirigent; jüri; kammerorkester; pedagoog; interpreet; kontsert
6,9,8,2,3,6,6,6,0,11,mozart; gerretz; solist; dirigent; jüri; kammerorkester; pedagoog; interpreet; kontsert
6,9,8,2,4,6,7,6,0,11,mozart; gerretz; solist; dirigent; jüri; kammerorkester; pedagoog; interpreet; kontsert
6,9,8,3,4,7,6,6,0,11,mozart; gerretz; solist; dirigent; jüri; kammerorkester; pedagoog; interpreet; kontsert
5,9,7,4,5,6,6,6,0,11,mozart; gerretz; dirigent; solist; jüri; kammerorkester; pedagoog; interpreet; kontsert
4,7,7,6,4,6,6,6,0,11,mozart; gerretz; solist; jüri; dirigent; kammerorkester; pedagoog; interpreet; kontsert
4,6,5,5,5,5,7,6,0,11,mozart; gerretz; jüri; solist; dirigent; kammerorkester; pedagoog; interpreet; kontsert
3,6,5,7,5,5,6,6,0,11,mozart; gerretz; jüri; solist; dirigent; kammerorkester; pedagoog; interpreet; kontsert
2,4,2,6,5,6,6,5,0,11,mozart; gerretz; solist; jüri; dirigent; kammerorkester; pedagoog; interpreet; kontsert
3,6,5,6,4,7,6,6,0,11,mozart; gerretz; jüri; dirigent; solist; kammerorkester; pedagoog; interpreet; kontsert
2,5,4,5,7,7,7,7,0,11,mozart; gerretz; jüri; dirigent; solist; kammerorkester; pedagoog; interpreet; kontsert
