EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,5,5,2,2,6,6,3,0,10,misjonitöö; nelipühad; suvistepühad; muna; kogudus; kiikumine; peko
4,6,5,2,2,6,6,3,0,10,misjonitöö; nelipühad; suvistepühad; muna; kogudus; kiikumine; peko
4,6,5,2,2,6,6,3,0,10,misjonitöö; nelipühad; suvistepühad; muna; kogudus; kiikumine; peko
5,5,5,2,1,5,6,3,0,10,misjonitöö; nelipühad; suvistepühad; muna; kogudus; kiikumine; peko
6,4,5,2,1,3,5,3,0,10,misjonitöö; nelipühad; suvistepühad; muna; kogudus; kiikumine; peko
6,4,5,1,1,3,6,3,0,10,misjonitöö; nelipühad; suvistepühad; muna; kogudus; kiikumine; peko
1,2,5,1,2,4,4,3,0,10,misjonitöö; nelipühad; suvistepühad; muna; kogudus; kiikumine; peko
2,6,4,3,3,4,1,4,0,10,misjonitöö; nelipühad; suvistepühad; muna; kogudus; kiikumine; peko
1,5,4,2,3,3,3,4,0,10,misjonitöö; nelipühad; suvistepühad; muna; kogudus; kiikumine; peko
0,6,4,4,4,3,3,4,0,10,misjonitöö; nelipühad; suvistepühad; muna; kogudus; kiikumine; peko
0,5,4,3,3,2,3,3,0,10,misjonitöö; nelipühad; suvistepühad; muna; kogudus; kiikumine; peko
