EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,3,2,3,2,5,7,3,0,11,uno; veehoidla; pauts; polder; ekskavaator; maaparandaja; emajõgi
7,3,4,3,2,5,7,3,0,11,uno; veehoidla; pauts; polder; ekskavaator; maaparandaja; emajõgi
7,2,4,4,2,5,7,3,0,11,uno; veehoidla; pauts; polder; ekskavaator; maaparandaja; emajõgi
7,2,4,4,2,6,7,3,0,11,uno; veehoidla; pauts; polder; ekskavaator; maaparandaja; emajõgi
6,2,5,5,2,6,7,3,0,11,uno; veehoidla; pauts; polder; ekskavaator; maaparandaja; emajõgi
5,4,5,6,2,5,7,3,0,11,uno; veehoidla; pauts; polder; ekskavaator; maaparandaja; emajõgi
4,3,6,7,4,6,7,3,0,11,uno; veehoidla; pauts; polder; ekskavaator; maaparandaja; emajõgi
3,1,6,5,4,5,6,3,0,11,uno; veehoidla; pauts; polder; ekskavaator; maaparandaja; emajõgi
3,2,7,6,5,7,6,4,0,11,uno; veehoidla; pauts; polder; ekskavaator; maaparandaja; emajõgi
3,0,5,5,5,5,5,4,0,11,uno; veehoidla; pauts; polder; ekskavaator; maaparandaja; emajõgi
3,0,5,5,5,4,5,5,0,11,uno; veehoidla; pauts; polder; ekskavaator; maaparandaja; emajõgi
