EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,6,3,5,5,5,5,0,12,lahing; nato; sõda; tehnika; muhu; kaitseliit; väin
6,5,6,3,5,5,5,5,0,12,lahing; nato; sõda; tehnika; muhu; kaitseliit; väin
7,5,6,3,5,4,5,5,0,12,lahing; nato; sõda; tehnika; muhu; kaitseliit; väin
7,5,6,3,5,4,5,5,0,12,lahing; nato; sõda; tehnika; muhu; kaitseliit; väin
7,5,6,3,5,4,6,5,0,12,lahing; nato; sõda; tehnika; muhu; kaitseliit; väin
4,5,4,4,6,4,6,5,0,12,lahing; nato; sõda; tehnika; muhu; kaitseliit; väin
4,5,5,7,6,5,6,5,0,12,lahing; nato; sõda; tehnika; muhu; kaitseliit; väin
3,5,5,7,7,5,6,6,0,12,lahing; nato; sõda; tehnika; muhu; väin; kaitseliit
3,4,6,7,7,6,6,6,0,12,lahing; nato; sõda; tehnika; muhu; kaitseliit; väin
4,4,5,7,7,6,6,6,0,12,lahing; nato; sõda; tehnika; muhu; kaitseliit; väin
3,5,5,7,7,6,6,7,0,12,lahing; nato; sõda; tehnika; muhu; kaitseliit; väin
