EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,5,5,3,4,5,2,0,11,naisoboemängija; klassikatähed; inglissarv; ingeli; oboe
5,5,5,5,3,4,5,2,0,11,naisoboemängija; klassikatähed; inglissarv; ingeli; oboe
5,5,5,5,3,4,5,2,0,11,naisoboemängija; klassikatähed; inglissarv; ingeli; oboe
5,5,5,5,3,4,5,2,0,11,naisoboemängija; klassikatähed; inglissarv; ingeli; oboe
5,5,5,5,3,4,5,2,0,11,naisoboemängija; klassikatähed; inglissarv; ingeli; oboe
5,5,5,5,3,5,5,2,0,11,naisoboemängija; klassikatähed; inglissarv; ingeli; oboe
3,4,5,4,3,5,5,3,0,11,naisoboemängija; klassikatähed; inglissarv; ingeli; oboe
3,4,5,1,3,4,5,2,0,11,naisoboemängija; klassikatähed; inglissarv; ingeli; oboe
1,4,5,2,3,4,5,2,0,11,naisoboemängija; klassikatähed; inglissarv; ingeli; oboe
1,2,4,1,3,4,5,3,0,11,naisoboemängija; klassikatähed; inglissarv; ingeli; oboe
1,2,5,1,2,4,5,3,0,11,naisoboemängija; klassikatähed; inglissarv; ingeli; oboe
