EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
15,13,9,6,11,5,9,11,0,21,meisterjaan; pärnoja; alter; holland; dragons; and; two; festival; roll; rock; raadio; sigrid; eurosonic; the; ewert; kaks; erki; soonik
15,13,9,6,12,5,9,12,0,21,meisterjaan; pärnoja; alter; holland; dragons; and; two; festival; roll; rock; raadio; sigrid; eurosonic; the; ewert; kaks; erki; soonik
15,14,10,5,12,6,8,12,0,21,meisterjaan; pärnoja; alter; holland; dragons; and; two; festival; roll; rock; raadio; sigrid; eurosonic; the; ewert; kaks; erki; soonik
15,15,10,6,12,6,9,12,0,21,meisterjaan; pärnoja; alter; holland; dragons; and; two; festival; roll; rock; raadio; sigrid; eurosonic; the; ewert; kaks; erki; soonik
13,14,10,7,13,7,9,12,0,21,meisterjaan; pärnoja; alter; dragons; and; two; festival; roll; rock; erki; raadio; sigrid; eurosonic; the; ewert; kaks; holland; soonik
12,15,11,10,16,8,10,12,0,21,meisterjaan; pärnoja; alter; dragons; and; two; festival; roll; rock; erki; raadio; sigrid; eurosonic; the; ewert; kaks; holland; soonik
8,12,9,13,15,9,15,13,0,21,meisterjaan; pärnoja; alter; holland; dragons; and; two; festival; roll; rock; raadio; sigrid; eurosonic; the; ewert; kaks; erki; soonik
8,6,10,13,15,8,15,13,0,21,meisterjaan; pärnoja; alter; dragons; and; two; festival; roll; erki; rock; raadio; sigrid; eurosonic; the; ewert; kaks; holland; soonik
8,8,12,14,15,10,14,13,0,21,meisterjaan; pärnoja; alter; dragons; and; two; festival; roll; rock; erki; raadio; sigrid; eurosonic; the; ewert; kaks; holland; soonik
7,8,10,14,16,10,11,13,0,21,meisterjaan; pärnoja; alter; dragons; and; two; festival; roll; erki; rock; raadio; sigrid; eurosonic; the; ewert; kaks; holland; soonik
8,7,8,15,14,10,13,12,0,21,meisterjaan; pärnoja; alter; dragons; and; two; festival; roll; rock; erki; raadio; sigrid; eurosonic; the; ewert; kaks; holland; soonik
