EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,5,5,5,2,3,4,3,0,15,keedus; laidoneri; gruusia; sulev; lotte; aasta; konkurentsivõime; muuseum
7,6,6,5,2,3,4,3,0,15,keedus; laidoneri; gruusia; sulev; lotte; aasta; konkurentsivõime; muuseum
7,7,6,6,3,3,4,3,0,15,keedus; laidoneri; gruusia; sulev; lotte; aasta; konkurentsivõime; muuseum
7,6,8,7,3,3,6,3,0,15,keedus; laidoneri; gruusia; sulev; lotte; aasta; konkurentsivõime; muuseum
6,4,7,8,3,3,6,3,0,15,keedus; laidoneri; gruusia; sulev; lotte; aasta; konkurentsivõime; muuseum
5,3,8,8,3,5,6,3,0,15,keedus; laidoneri; gruusia; sulev; lotte; aasta; konkurentsivõime; muuseum
5,4,7,6,3,5,4,3,0,15,keedus; laidoneri; gruusia; sulev; lotte; aasta; konkurentsivõime; muuseum
4,5,7,5,5,4,7,2,0,15,keedus; laidoneri; gruusia; sulev; lotte; aasta; konkurentsivõime; muuseum
3,4,7,6,6,6,6,3,0,15,keedus; laidoneri; gruusia; sulev; lotte; aasta; konkurentsivõime; muuseum
4,3,5,6,7,4,6,2,0,15,keedus; laidoneri; gruusia; sulev; lotte; aasta; konkurentsivõime; muuseum
4,3,8,6,7,5,4,2,0,15,keedus; laidoneri; gruusia; sulev; lotte; aasta; konkurentsivõime; muuseum
