EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,3,7,3,5,5,7,3,0,10,toimetus; direktor; saade; režissöör; koosolek; stuudio; televisioon
7,2,7,3,5,5,7,3,0,10,toimetus; direktor; saade; režissöör; koosolek; stuudio; televisioon
6,2,6,3,5,5,7,3,0,10,toimetus; direktor; saade; režissöör; koosolek; stuudio; televisioon
6,2,5,3,5,5,7,3,0,10,toimetus; direktor; saade; režissöör; koosolek; stuudio; televisioon
6,4,3,3,5,6,6,3,0,10,toimetus; direktor; saade; režissöör; koosolek; stuudio; televisioon
5,4,3,3,5,6,4,3,0,10,toimetus; direktor; saade; režissöör; koosolek; stuudio; televisioon
5,4,2,2,4,6,5,3,0,10,toimetus; direktor; saade; režissöör; koosolek; stuudio; televisioon
3,3,4,2,5,4,6,3,0,10,toimetus; direktor; saade; režissöör; koosolek; stuudio; televisioon
3,5,4,2,5,3,6,3,0,10,toimetus; direktor; saade; režissöör; koosolek; stuudio; televisioon
3,5,4,2,4,3,4,2,0,10,toimetus; direktor; saade; režissöör; koosolek; stuudio; televisioon
3,5,3,2,3,3,5,2,0,10,toimetus; direktor; saade; režissöör; koosolek; stuudio; televisioon
