EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,5,4,5,3,4,3,6,0,11,kooli; katariina; redel; ronima; ema; poiss
5,5,4,5,3,5,4,6,0,11,kooli; katariina; redel; ronima; ema; poiss
5,5,3,5,3,5,4,6,0,11,kooli; katariina; redel; ronima; ema; poiss
4,5,3,5,4,5,5,6,0,11,kooli; katariina; redel; ronima; ema; poiss
4,5,4,5,4,5,4,6,0,11,kooli; katariina; redel; ronima; ema; poiss
4,5,3,5,4,5,5,6,0,11,kooli; katariina; redel; ronima; ema; poiss
4,5,4,5,5,4,5,5,0,11,kooli; katariina; redel; ronima; ema; poiss
4,5,5,4,4,5,4,5,0,11,kooli; katariina; redel; ronima; ema; poiss
4,5,3,4,3,5,3,5,0,11,kooli; katariina; redel; ronima; ema; poiss
2,4,4,4,4,4,3,4,0,11,kooli; katariina; redel; ronima; ema; poiss
3,4,5,4,5,4,3,4,0,11,kooli; katariina; redel; ronima; ema; poiss
