EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
10,8,7,8,4,9,7,9,0,16,üleeuroopaline; komisjon; eurole; tartu; osaühing; euroopa; ida-virumaa; juurapiid; elering; rahvakultuurifestival; laevaliiklus
10,8,8,8,4,8,7,9,0,16,üleeuroopaline; komisjon; eurole; tartu; osaühing; euroopa; ida-virumaa; juurapiid; elering; rahvakultuurifestival; laevaliiklus
10,8,10,9,4,7,7,9,0,16,üleeuroopaline; komisjon; eurole; tartu; osaühing; euroopa; ida-virumaa; juurapiid; elering; rahvakultuurifestival; laevaliiklus
9,8,9,9,4,8,7,9,0,16,üleeuroopaline; komisjon; eurole; tartu; osaühing; euroopa; ida-virumaa; juurapiid; elering; rahvakultuurifestival; laevaliiklus
9,8,9,8,4,7,7,9,0,16,üleeuroopaline; komisjon; eurole; tartu; osaühing; euroopa; ida-virumaa; juurapiid; elering; rahvakultuurifestival; laevaliiklus
9,8,7,10,5,6,8,9,0,16,üleeuroopaline; komisjon; eurole; tartu; osaühing; euroopa; ida-virumaa; juurapiid; elering; rahvakultuurifestival; laevaliiklus
7,8,9,9,6,7,9,9,0,16,üleeuroopaline; eurole; komisjon; tartu; osaühing; euroopa; ida-virumaa; juurapiid; elering; rahvakultuurifestival; laevaliiklus
6,7,9,9,7,7,7,8,0,16,eurole; üleeuroopaline; komisjon; tartu; osaühing; euroopa; ida-virumaa; juurapiid; elering; rahvakultuurifestival; laevaliiklus
5,7,10,7,6,5,6,8,0,16,üleeuroopaline; eurole; komisjon; tartu; osaühing; euroopa; ida-virumaa; juurapiid; elering; rahvakultuurifestival; laevaliiklus
6,7,9,7,8,4,6,8,0,16,komisjon; eurole; üleeuroopaline; tartu; osaühing; euroopa; ida-virumaa; juurapiid; elering; rahvakultuurifestival; laevaliiklus
5,6,10,7,6,5,8,7,0,16,eurole; komisjon; üleeuroopaline; tartu; osaühing; euroopa; ida-virumaa; juurapiid; elering; rahvakultuurifestival; laevaliiklus
