EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,5,7,3,0,5,8,1,0,12,ani; karu; näitleja; elmar; muusika; endel; vanemuine; salulaht; nikerdamine
8,5,7,4,0,5,8,1,0,12,ani; karu; näitleja; elmar; muusika; endel; vanemuine; salulaht; nikerdamine
7,5,7,4,0,5,8,1,0,12,ani; karu; näitleja; elmar; muusika; endel; vanemuine; salulaht; nikerdamine
6,4,7,4,0,6,8,1,0,12,ani; karu; näitleja; elmar; muusika; endel; vanemuine; salulaht; nikerdamine
6,3,6,5,0,7,7,1,0,12,ani; karu; näitleja; elmar; muusika; endel; vanemuine; salulaht; nikerdamine
3,2,6,5,1,5,7,2,0,12,ani; karu; näitleja; elmar; muusika; endel; vanemuine; salulaht
3,5,6,5,1,5,6,2,0,12,ani; karu; näitleja; elmar; muusika; endel; vanemuine; salulaht
3,6,5,3,4,4,6,4,0,12,ani; karu; näitleja; elmar; muusika; endel; vanemuine; salulaht
1,6,5,6,7,5,5,4,0,12,ani; karu; näitleja; elmar; muusika; endel; vanemuine; salulaht
1,4,6,4,6,4,5,6,0,12,ani; karu; näitleja; elmar; muusika; endel; vanemuine; salulaht
1,4,6,5,6,6,5,5,0,12,ani; karu; näitleja; elmar; muusika; endel; vanemuine; salulaht
