EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,3,9,8,6,7,8,7,0,10,tähendus; sport; elukutse; jalgpall; äri; ameerika; euroopa; võitlus; meedia
7,3,8,8,6,7,9,7,0,10,tähendus; sport; elukutse; jalgpall; äri; ameerika; euroopa; võitlus; meedia
6,3,8,8,5,7,9,7,0,10,tähendus; sport; elukutse; jalgpall; äri; ameerika; euroopa; võitlus; meedia
6,3,8,8,6,7,9,7,0,10,tähendus; sport; elukutse; jalgpall; äri; ameerika; euroopa; võitlus; meedia
6,4,9,8,7,7,8,7,0,10,tähendus; elukutse; jalgpall; euroopa; äri; ameerika; sport; võitlus; meedia
5,4,8,8,7,8,9,7,0,10,tähendus; elukutse; jalgpall; euroopa; äri; ameerika; sport; võitlus; meedia
6,4,8,6,8,9,9,8,0,10,tähendus; sport; jalgpall; elukutse; äri; ameerika; euroopa; võitlus; meedia
8,4,7,5,7,8,9,8,0,10,tähendus; elukutse; jalgpall; sport; äri; ameerika; euroopa; võitlus; meedia
6,4,6,5,6,8,8,8,0,10,tähendus; elukutse; jalgpall; euroopa; äri; ameerika; sport; võitlus; meedia
7,4,7,5,6,9,9,8,0,10,tähendus; elukutse; jalgpall; sport; äri; ameerika; euroopa; võitlus; meedia
6,5,7,6,6,8,9,9,0,10,tähendus; elukutse; jalgpall; sport; äri; ameerika; euroopa; võitlus; meedia
