EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,3,4,2,3,3,3,3,3,11,reis; mulje; kanakasvataja; austraalia
2,3,4,2,3,3,3,3,3,11,reis; mulje; kanakasvataja; austraalia
1,3,4,2,3,3,3,3,3,11,austraalia; mulje; kanakasvataja; reis
3,4,4,2,3,4,3,3,3,11,reis; mulje; kanakasvataja; austraalia
3,4,4,2,3,4,3,4,3,11,reis; mulje; kanakasvataja; austraalia
3,4,4,3,4,4,3,4,4,11,reis; mulje; kanakasvataja; austraalia
2,4,4,4,4,3,3,3,3,11,reis; mulje; kanakasvataja; austraalia
3,4,4,4,4,3,3,3,3,11,reis; mulje; kanakasvataja; austraalia
3,4,4,4,4,4,3,4,3,11,reis; mulje; kanakasvataja; austraalia
3,4,3,4,3,4,4,4,3,11,reis; mulje; kanakasvataja; austraalia
3,4,2,4,3,3,3,3,3,11,reis; mulje; kanakasvataja; austraalia
