EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,7,7,8,4,8,8,7,0,11,meelelahutus; lõuna-eesti; lõõtspill; pillimäng; meloodia; maailmasõjajärgne; polka; tants
8,7,7,8,4,8,8,7,0,11,meelelahutus; lõuna-eesti; lõõtspill; pillimäng; meloodia; maailmasõjajärgne; polka; tants
8,7,6,8,4,8,7,7,0,11,meelelahutus; lõuna-eesti; lõõtspill; pillimäng; meloodia; maailmasõjajärgne; polka; tants
8,7,6,8,4,8,7,7,0,11,meelelahutus; lõuna-eesti; lõõtspill; pillimäng; meloodia; maailmasõjajärgne; polka; tants
8,7,6,8,4,8,7,7,0,11,meelelahutus; lõuna-eesti; lõõtspill; pillimäng; meloodia; maailmasõjajärgne; polka; tants
8,7,7,8,4,8,7,7,0,11,meelelahutus; lõuna-eesti; lõõtspill; pillimäng; meloodia; maailmasõjajärgne; polka; tants
6,7,8,8,4,8,7,7,0,11,lõuna-eesti; meelelahutus; lõõtspill; pillimäng; meloodia; maailmasõjajärgne; polka; tants
5,7,7,8,4,8,8,6,0,11,meelelahutus; lõuna-eesti; lõõtspill; pillimäng; meloodia; maailmasõjajärgne; polka; tants
7,7,8,7,5,8,8,6,0,11,lõuna-eesti; meelelahutus; lõõtspill; pillimäng; meloodia; maailmasõjajärgne; polka; tants
7,6,8,8,7,8,7,7,0,11,lõuna-eesti; meelelahutus; lõõtspill; pillimäng; meloodia; maailmasõjajärgne; polka; tants
6,7,8,7,7,8,8,7,0,11,lõuna-eesti; meelelahutus; lõõtspill; pillimäng; meloodia; maailmasõjajärgne; polka; tants
