EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,6,3,8,4,6,7,3,0,13,pianiino; falck; eesti; klavessiin; klaverimeister; radke; muusikamuuseum; klaveriehitus; christoph
7,6,4,8,4,6,7,4,0,13,pianiino; falck; eesti; klavessiin; klaverimeister; radke; muusikamuuseum; klaveriehitus; christoph
7,6,4,9,4,6,7,4,0,13,pianiino; falck; eesti; klavessiin; klaverimeister; radke; muusikamuuseum; klaveriehitus; christoph
7,6,4,9,4,6,8,4,0,13,pianiino; falck; eesti; klavessiin; klaverimeister; radke; muusikamuuseum; klaveriehitus; christoph
8,5,5,9,4,5,7,4,0,13,pianiino; falck; eesti; klavessiin; klaverimeister; radke; muusikamuuseum; klaveriehitus; christoph
8,5,6,9,4,5,6,4,0,13,pianiino; falck; eesti; klaverimeister; klavessiin; radke; muusikamuuseum; klaveriehitus; christoph
6,4,7,5,6,6,7,4,0,13,pianiino; falck; eesti; klaverimeister; klavessiin; radke; muusikamuuseum; klaveriehitus; christoph
5,5,6,4,4,2,6,4,0,13,pianiino; falck; eesti; klaverimeister; klavessiin; radke; muusikamuuseum; klaveriehitus; christoph
2,3,6,5,6,3,6,4,0,13,pianiino; falck; eesti; klaverimeister; klavessiin; radke; muusikamuuseum; christoph
2,4,6,4,5,4,7,3,0,13,pianiino; falck; eesti; klaverimeister; klavessiin; radke; muusikamuuseum; christoph
2,4,4,4,6,4,4,5,0,13,pianiino; falck; eesti; klavessiin; klaverimeister; radke; muusikamuuseum; christoph
