EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
11,9,6,5,3,9,9,5,0,15,laimre; tudengifilm; tartu; poliitiline; kumu; poeetiline; kunstihoone; soans; kuraator; marco; härm; hanno; anders
11,10,7,5,3,8,9,5,0,15,laimre; tudengifilm; tartu; poliitiline; kumu; poeetiline; kunstihoone; soans; kuraator; marco; härm; hanno; anders
11,8,8,6,4,8,9,4,0,15,laimre; tudengifilm; tartu; poliitiline; kumu; poeetiline; kunstihoone; soans; kuraator; marco; härm; hanno; anders
11,9,7,6,4,9,9,4,0,15,laimre; tudengifilm; tartu; poliitiline; kumu; poeetiline; kunstihoone; soans; kuraator; marco; härm; hanno; anders
11,8,8,7,4,9,8,4,0,15,laimre; tudengifilm; tartu; poliitiline; kumu; poeetiline; kunstihoone; soans; kuraator; marco; härm; hanno; anders
8,8,6,7,5,6,7,4,0,15,laimre; tudengifilm; tartu; anders; poliitiline; kumu; poeetiline; kunstihoone; soans; marco; härm; hanno; kuraator
7,8,8,8,6,8,6,6,0,15,laimre; tudengifilm; tartu; anders; poliitiline; kumu; poeetiline; kunstihoone; soans; marco; härm; hanno; kuraator
4,9,8,7,8,6,9,7,0,15,laimre; tudengifilm; tartu; poliitiline; kumu; poeetiline; kunstihoone; soans; kuraator; marco; härm; hanno; anders
3,8,6,9,8,9,9,7,0,15,laimre; tudengifilm; tartu; poliitiline; kumu; poeetiline; kunstihoone; soans; kuraator; marco; härm; hanno; anders
4,6,6,7,6,10,9,7,0,15,laimre; tudengifilm; tartu; poliitiline; kumu; poeetiline; kunstihoone; soans; kuraator; marco; härm; hanno; anders
3,6,8,8,8,8,9,10,0,15,laimre; tudengifilm; tartu; poliitiline; kumu; poeetiline; kunstihoone; soans; kuraator; marco; härm; hanno; anders
