EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,10,9,9,6,9,7,8,6,11,jooksma; aeg; seljakott; madis; sportlane; korrus; raadiomaja; aesma; tuletõrje; plaat
8,10,9,9,6,9,7,8,6,11,jooksma; aeg; seljakott; madis; sportlane; korrus; raadiomaja; aesma; tuletõrje; plaat
8,10,9,9,6,9,9,8,6,11,jooksma; aeg; seljakott; madis; sportlane; korrus; raadiomaja; aesma; tuletõrje; plaat
8,10,9,9,6,8,10,8,5,11,jooksma; aeg; seljakott; madis; sportlane; korrus; raadiomaja; aesma; tuletõrje; plaat
9,10,9,9,6,8,10,8,5,11,jooksma; aeg; seljakott; madis; sportlane; korrus; raadiomaja; aesma; tuletõrje; plaat
9,10,9,10,6,10,10,9,7,11,jooksma; aeg; seljakott; madis; korrus; sportlane; raadiomaja; aesma; tuletõrje; plaat
10,9,10,10,7,9,10,9,6,11,jooksma; aeg; seljakott; madis; sportlane; korrus; raadiomaja; aesma; tuletõrje; plaat
9,8,9,8,7,9,10,9,6,11,jooksma; aeg; seljakott; madis; sportlane; korrus; raadiomaja; aesma; tuletõrje; plaat
9,9,10,9,9,9,10,7,7,11,jooksma; aeg; seljakott; madis; korrus; sportlane; raadiomaja; aesma; tuletõrje; plaat
8,8,10,8,8,9,10,8,7,11,jooksma; aeg; seljakott; madis; sportlane; korrus; raadiomaja; aesma; tuletõrje; plaat
6,9,9,8,9,10,10,7,8,11,jooksma; aeg; seljakott; korrus; sportlane; madis; raadiomaja; aesma; tuletõrje; plaat
