EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
0,0,1,0,1,3,1,2,0,13,uudis; internet; tehnoloogia
0,0,1,0,1,3,1,2,0,13,uudis; internet; tehnoloogia
0,0,1,0,1,3,1,2,0,13,uudis; internet; tehnoloogia
0,0,1,0,1,3,1,2,0,13,uudis; internet; tehnoloogia
0,0,1,0,1,3,1,2,0,13,uudis; internet; tehnoloogia
0,0,1,0,1,3,1,2,0,13,uudis; internet; tehnoloogia
0,0,1,0,1,3,1,2,0,13,uudis; internet; tehnoloogia
0,0,1,0,1,3,1,2,0,13,uudis; internet; tehnoloogia
0,0,1,1,1,3,1,2,0,13,uudis; internet; tehnoloogia
0,0,1,1,1,3,2,2,0,13,uudis; internet; tehnoloogia
1,0,1,1,1,3,2,2,0,13,uudis; internet; tehnoloogia
