EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,1,2,0,3,3,3,2,1,13,vangla; nurk; raamat; martin; salaja; ämber
2,1,2,0,3,3,3,2,1,13,vangla; nurk; raamat; martin; salaja; ämber
2,1,2,0,3,3,3,2,1,13,vangla; nurk; raamat; martin; salaja; ämber
2,1,2,0,3,3,3,2,1,13,vangla; nurk; raamat; martin; salaja; ämber
2,1,2,0,3,3,3,2,1,13,vangla; nurk; raamat; martin; salaja; ämber
2,1,2,0,3,3,3,2,1,13,vangla; nurk; raamat; martin; salaja; ämber
2,1,2,0,3,3,3,2,1,13,vangla; nurk; raamat; martin; salaja; ämber
2,1,2,0,3,3,3,2,1,13,vangla; nurk; raamat; martin; salaja; ämber
2,1,2,0,3,3,3,2,1,13,vangla; nurk; raamat; martin; salaja; ämber
2,1,2,0,3,3,3,2,1,13,vangla; nurk; raamat; martin; salaja; ämber
2,1,2,0,3,3,3,2,1,13,vangla; nurk; raamat; martin; salaja; ämber
