EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,0,2,1,2,1,1,1,0,12,aivar; kriska; savinõu; narva; kivi; keraamika
3,0,2,1,2,1,1,1,0,12,aivar; kriska; savinõu; narva; kivi; keraamika
3,0,2,1,2,1,1,1,0,12,aivar; kriska; savinõu; narva; kivi; keraamika
3,0,2,1,2,1,1,1,0,12,aivar; kriska; savinõu; narva; kivi; keraamika
3,0,2,1,2,1,1,1,0,12,aivar; kriska; savinõu; narva; kivi; keraamika
3,0,2,1,2,1,1,1,0,12,aivar; kriska; savinõu; narva; kivi; keraamika
3,0,2,1,2,1,1,1,0,12,aivar; kriska; savinõu; narva; kivi; keraamika
3,0,2,1,2,1,1,1,0,12,aivar; kriska; savinõu; narva; kivi; keraamika
3,0,2,1,2,1,1,1,0,12,aivar; kriska; savinõu; narva; kivi; keraamika
3,0,2,1,2,1,1,1,0,12,aivar; kriska; savinõu; narva; kivi; keraamika
3,0,2,1,2,1,1,1,0,12,aivar; kriska; savinõu; narva; kivi; keraamika
